epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.208,1.00238,1.73031,1.02748,0.96124,0.92899,0.96964,0.70131,0.8975,1.32047,0.94265,0.000663176,0.000663176,0.000663176
2,1276.38,1.00481,1.08754,1.02032,0.9473,0.95723,0.98443,0.72481,0.96619,0.91313,0.9697,0.00130351,0.00130351,0.00130351
3,1899.29,0.96328,0.8455,1.00962,0.96975,0.92308,0.9729,0.7742,0.83332,0.75334,0.98663,0.00191745,0.00191745,0.00191745
4,2539.84,0.94341,0.74907,1.0085,0.95841,0.9645,0.98343,0.75967,0.84839,0.65255,0.97025,0.0018812,0.0018812,0.0018812
5,3079.22,0.89953,0.68315,0.98566,0.98767,0.94773,0.98484,0.75586,0.88043,0.60253,0.96882,0.0018416,0.0018416,0.0018416
6,43093.9,0.89852,0.65611,0.98493,0.99278,0.9645,0.987,0.783,0.77927,0.54073,0.94708,0.001802,0.001802,0.001802
7,43733.2,0.8462,0.59506,0.96804,0.9797,0.98817,0.99179,0.78514,0.76214,0.50011,0.92156,0.0017624,0.0017624,0.0017624
8,44335.2,0.86723,0.58903,0.98182,0.97084,0.98491,0.98737,0.75431,0.86997,0.53782,0.9626,0.0017228,0.0017228,0.0017228
9,44943.3,0.86245,0.57947,0.97897,0.97833,0.98225,0.99401,0.79432,0.75878,0.47254,0.9321,0.0016832,0.0016832,0.0016832
10,45488.7,0.81797,0.55279,0.96258,0.98794,0.98225,0.99162,0.82479,0.7194,0.45876,0.91642,0.0016436,0.0016436,0.0016436
11,46732.2,0.79918,0.52064,0.9472,0.99394,0.98817,0.99169,0.79386,0.77284,0.45046,0.92996,0.001604,0.001604,0.001604
12,47256.9,0.78771,0.5209,0.95002,0.98587,0.99408,0.9941,0.81389,0.72205,0.41679,0.91785,0.0015644,0.0015644,0.0015644
13,47799.6,0.79662,0.51956,0.95517,0.9831,0.98817,0.99391,0.81528,0.73934,0.4404,0.92929,0.0015248,0.0015248,0.0015248
14,48468.8,0.77496,0.49888,0.93711,0.99401,0.98214,0.99464,0.82642,0.73388,0.42086,0.92449,0.0014852,0.0014852,0.0014852
